Species,Contaminant,Strain #,MIT,CMIT,BIT,BC,DMH,PH,MP,SB
B. ambifaria,0,207,0.00194,0.0001498,0.002,0.15,0.0135,0.25,0.1,0.4
B. ambifaria,0,267,0.00194,0.00003745,0.001,0.005,0.0135,0.125,0.05,0.2
B. ambifaria,0,338,0.00097,0.0000749,0.001,0.15,0.0135,0.25,0.1,0.2
B. ambifaria,0,1599,0.00097,0.0000749,0.002,0.15,0.0135,0.25,0.1,0.2
B. anthina,0,635,0.00194,0.0000749,0.002,0.15,0.0135,0.25,0.1,0.4
B. anthina,0,639,0.00194,0.0001498,0.004,0.15,0.0135,0.25,0.1,0.4
B. arboris,0,49,0.00097,0.0000749,0.001,0.15,0.0135,0.15,0.1,0.1
B. arboris,0,1306,0.00097,0.0000749,0.002,0.15,0.108,0.15,0.1,0.2
B. arboris,0,1310,0.00097,0.0000749,0.001,0.15,0.216,0.15,0.1,0.2
B. arboris,0,1312,0.00194,0.00003745,0.004,0.15,0.027,0.125,0.05,0.2
B. cenocepacia,0,16,0.00097,0.00003745,0.001,0.15,0.0135,0.125,0.05,0.1
B. cenocepacia,0,18,0.00097,0.00003745,0.001,0.25,0.0135,0.15,0.05,0.1
B. cenocepacia,0,19,0.00097,0.00003745,0.002,0.15,0.0135,0.125,0.05,0.1
B. cenocepacia,0,20,0.00097,0.0000749,0.002,0.15,0.0135,0.15,0.1,0.2
B. cenocepacia,0,21,0.00194,0.0001498,0.004,0.4,0.0135,0.15,0.1,0.4
B. cenocepacia,0,22,0.00097,0.0001498,0.002,0.25,0.0135,0.25,0.1,0.2
B. cenocepacia,0,272,0.00097,0.0000749,0.002,0.15,0.0135,0.15,0.05,0.2
B. cenocepacia,0,446,0.00194,0.0000749,0.002,0.01,0.108,0.125,0.1,0.2
B. cenocepacia,0,560,0.00097,0.0001498,0.001,0.25,0.054,0.15,0.05,0.2
B. cenocepacia,0,742,0.000485,0.00003745,0.001,0.15,0.054,,0.05,0.1
B. cenocepacia,0,1202,0.004365,0.0001498,0.004,0.25,0.0135,0.25,0.1,0.4
B. cenocepacia,0,1203,0.00194,0.0006741,0.008,0.4,0.0135,0.25,0.1,0.4
B. cenocepacia,0,1283,0.00097,0.0006741,0.002,0.15,0.108,0.125,0.1,0.4
B. cenocepacia,0,1291,0.004365,0.0001498,0.001,0.15,0.216,0.25,0.1,0.8
B. cenocepacia,0,1553,0.00097,0.0000749,0.001,0.15,0.0135,0.25,0.1,0.4
B. cepacia,0,1,0.00194,0.0001498,0.008,0.15,0.0135,0.25,0.1,0.8
B. cepacia,0,2,0.00194,0.0001498,0.002,0.15,0.0135,0.25,0.1,0.4
B. cepacia,0,3,0.000485,0.00003745,0.001,0.15,0.0135,0.15,0.1,0.2
B. cepacia,0,4,0.00097,0.00003745,0.001,0.0075,0.0135,0.15,0.1,0.1
B. contaminans,1,362,0.00097,0.0000749,0.001,0.15,0.0135,0.25,0.1,0.2
B. contaminans,1,823,0.00194,0.0001498,0.002,0.15,0.108,0.25,0.1,0.4
B. contaminans,1,1281,0.00097,0.0000749,0.001,0.15,0.0135,0.25,0.1,0.2
B. contaminans,1,1315,0.00194,0.0001498,0.002,0.15,0.108,0.25,0.1,0.4
B. contaminans,1,1323,0.00194,0.0001498,0.002,0.4,0.054,0.25,0.1,0.2
B. diffusa,0,106,0.00097,0.0000749,0.001,0.15,0.0135,0.25,0.1,0.2
B. diffusa,0,169,0.00194,0.0000749,0.001,0.15,0.0135,0.25,0.1,0.2
B. diffusa,0,484,0.00194,0.0001498,0.002,0.15,0.0135,0.25,0.1,0.2
B. diffusa,0,72,0.00194,0.0001498,0.002,0.15,0.0135,0.125,0.05,0.1
B. dolosa,0,305,0.00194,0.0001498,0.001,0.15,0.0135,0.125,0.1,0.1
B. dolosa,0,1356,0.00097,0.0000749,0.001,0.15,0.0135,0.125,0.05,0.1
B. lata ,1,803,0.00097,0.0000749,0.002,0.15,0.0135,0.25,0.1,0.2
B. lata ,1,1294,0.00097,0.0006741,0.004,0.15,0.054,0.125,0.1,0.4
B. lata ,1,1296,0.00097,0.0000749,0.004,0.15,0.0135,0.25,0.1,0.2
B. lata ,1,1321,0.00097,0.0001498,0.001,0.005,0.054,0.25,0.1,0.2
B. lata ,1,1406,0.00097,0.0000749,0.002,0.15,0.108,0.25,0.1,0.4
B. metallica,0,95,0.00097,0.0000749,0.002,0.15,0.0135,0.25,0.1,0.2
B. metallica,0,483,0.00194,0.0001498,0.002,0.15,0.0135,0.25,0.1,0.4
B. multivorans,0,5,0.00194,0.0001498,0.002,0.15,0.0135,0.15,0.1,0.4
B. multivorans,0,8,0.00097,0.0000749,0.002,0.15,0.0135,0.15,0.1,0.2
B. multivorans,0,11,0.00194,0.0006741,0.008,0.15,0.054,0.25,0.1,0.4
B. multivorans,0,390,0.004365,0.0000749,0.002,0.15,0.0135,0.25,0.1,0.4
B. multivorans,0,764,0.00097,0.00003745,0.002,0.15,0.0135,0.15,0.1,0.2
B. multivorans,0,1421,0.00097,0.0000749,0.001,0.15,0.0135,0.15,0.1,0.1
B. multivorans,0,1430,0.000485,0.00003745,0.001,0.15,0.0135,0.125,0.1,0.1
B. multivorans,0,1560,0.00097,0.00003745,0.001,0.15,0.216,0.125,0.05,0.1
B. pyrrocinia,0,171,0.00097,0.0000749,0.001,0.15,0.0135,0.25,0.1,0.2
B. pyrrocinia,0,180,0.00097,0.0000749,0.001,0.15,0.0135,0.25,0.1,0.1
B. pyrrocinia,0,476,0.00194,0.0000749,0.001,0.15,0.0135,0.25,0.1,0.2
B. stabilis,0,23,0.000485,0.00003745,0.001,0.15,0.0135,0.125,0.1,0.1
B. stabilis,0,286,0.00194,0.0001498,0.002,0.15,0.0135,0.25,0.1,0.2
B. stabilis,0,1342,0.00194,0.0001498,0.002,0.15,0.0135,0.25,0.1,0.4
B. ubonensis,0,1603,0.00097,0.0001498,0.002,0.15,0.0135,0.25,0.1,0.1
B. vietnamiensis,0,27,0.00097,0.0001498,0.004,0.01,0.027,0.15,0.1,0.4
B. vietnamiensis,0,28,0.00097,0.0001498,0.002,0.01,0.0135,0.15,0.1,0.8
B. vietnamiensis,0,30,0.00194,0.0001498,0.002,0.0075,0.0135,0.25,0.1,0.4
B. vietnamiensis,0,1304,0.00097,0.00003745,0.002,0.15,0.0135,0.125,0.05,0.1
B. vietnamiensis,0,1309,0.00097,0.0001498,0.002,0.01,0.108,0.15,0.1,0.4
